upc,cedis,cluster,model,origin,protection_period_days,on_hand_as_of,sales_after_snapshot,on_hand_projected,demand_p50,demand_p90,demand_mean,service_level_target,safety_stock_policy,safety_stock_quantile,safety_stock,safety_stock_binding,order_up_to,moq,order_qty,implied_service_level,expected_fill_rate,expected_lost_sales,days_of_cover_after_order,unit_value,working_capital,stock_value_after_order,ma4_order_qty,ma4_service_level,ma4_expected_lost_sales,ma4_working_capital,ly_order_qty,ly_service_level,ly_working_capital,delta_working_capital_vs_ma4,delta_service_level_vs_ma4,delta_lost_sales_vs_ma4,fq_order_up_to,fq_order_qty,fq_service_level,fq_expected_lost_sales,fq_working_capital,target_stock_value,fq_target_stock_value,flags
750101310578,CCUL,B-Y,lgbm,2026-03-30,14,2512.0000,254.6995,2257.3005,1239.9556,1532.1274,1256.9702,0.9000,619.9778,292.1718,619.9778,policy_days,1859.9333,100,0.0000,0.9999,1.0000,0.0135,25.4866,43.5968,0.0000,98411.0658,0.0000,0.9999,0.0135,0.0000,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,1532.1274,0.0000,0.9999,0.0135,0.0000,81087.1317,66795.8438,
750101310578,CMD2,B-Y,lgbm,2026-03-30,14,2615.0000,1316.8932,1298.1068,6165.2705,7500.9394,6237.8699,0.9000,3082.6352,1335.6690,3082.6352,policy_days,9247.9057,100,8000.0000,0.9964,0.9997,1.6551,21.1140,43.1312,345049.2270,401038.0711,7500.0000,0.9899,4.8237,323483.6503,7200.0000,0.9820,310544.3043,21565.5767,0.0064,-3.1687,7500.9394,6300.0000,0.9140,48.9775,271726.2662,398872.8401,323524.1695,
750101310578,CMTY,B-Y,lgbm,2026-03-30,14,2686.0000,366.0085,2319.9915,1797.7722,2232.7570,1823.6552,0.9000,898.8861,434.9847,898.8861,policy_days,2696.6583,100,400.0000,0.9928,0.9994,1.1364,21.1817,43.3188,17327.5187,117826.7607,500.0000,0.9961,0.6002,21659.3984,0.0000,0.9343,0.0000,-4331.8797,-0.0033,0.5362,2232.7570,0.0000,0.9343,12.0713,0.0000,116815.9947,96720.3450,
750101310578,TLJ,B-Y,lgbm,2026-03-30,14,3848.0000,239.5264,3608.4736,1634.5601,2146.6034,1671.9361,0.9000,817.2801,512.0432,817.2801,policy_days,2451.8402,100,0.0000,0.9999,1.0000,0.0189,30.9066,43.6797,0.0000,157616.8826,0.0000,0.9999,0.0189,0.0000,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000,2146.6034,0.0000,0.9999,0.0189,0.0000,107095.5360,93762.8961,
750101310578,VHSA,B-Y,lgbm,2026-03-30,14,3508.0000,229.8087,3278.1913,1040.4851,1382.4418,1066.3804,0.9000,520.2425,341.9567,520.2425,policy_days,1560.7276,100,0.0000,1.0000,1.0000,0.0000,44.1089,43.2287,0.0000,141711.9088,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1382.4418,0.0000,1.0000,0.0000,0.0000,67468.2063,59761.1429,
750101310581,CCUL,B-Y,lgbm,2026-03-30,14,2351.0000,1770.5943,580.4057,7252.6177,9521.4464,7418.0520,0.9000,3626.3088,2268.8287,3626.3088,policy_days,10878.9265,100,10300.0000,0.9719,0.9964,26.8812,21.0029,50.9191,524466.8049,554020.5454,7600.0000,0.7146,346.8409,386985.2153,9500.0000,0.9394,483731.5191,137481.5896,0.2573,-319.9597,9521.4464,9000.0000,0.9050,99.1631,458271.9654,553945.2261,484823.5488,
750101310581,CMD2,B-Y,lgbm,2026-03-30,14,2216.0000,1978.0000,238.0000,4477.8954,5512.9199,4537.2309,0.9000,2238.9477,1035.0245,2238.9477,policy_days,6716.8431,100,6500.0000,0.9941,0.9995,2.1749,21.0661,51.7000,336050.0000,348354.6000,5500.0000,0.9368,27.2822,284350.0000,9300.0000,1.0000,480810.0000,51700.0000,0.0573,-25.1073,5512.9199,5300.0000,0.9048,42.9400,274010.0000,347260.7878,285017.9584,
750101310581,CMTY,B-Y,lgbm,2026-03-30,14,1836.0000,1213.0000,623.0000,3118.7461,3748.4784,3151.0287,0.9000,1559.3730,629.7323,1559.3730,policy_days,4678.1191,100,4100.0000,0.9981,0.9999,0.3930,21.2015,51.7000,211970.0000,244179.1000,3500.0000,0.9741,6.1139,180950.0000,4000.0000,0.9970,206800.0000,31020.0000,0.0240,-5.7209,3748.4784,3200.0000,0.9220,20.4685,165440.0000,241858.7564,193796.3312,
750101310581,MXLI,B-Y,lgbm,2026-03-30,14,2603.0000,302.0000,2301.0000,981.4811,1193.8191,993.0094,0.9000,490.7405,212.3380,490.7405,policy_days,1472.2216,100,0.0000,1.0000,1.0000,0.0000,32.8218,50.7373,0.0000,116746.5698,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1193.8191,0.0000,1.0000,0.0000,0.0000,74696.5787,60571.1814,
750101310581,TLJ,B-Y,lgbm,2026-03-30,14,2845.0000,638.4816,2206.5184,2360.5380,2802.5238,2381.8022,0.9000,1180.2690,441.9857,1180.2690,policy_days,3540.8071,100,1400.0000,0.9992,1.0000,0.1055,21.3897,51.7000,72380.0000,186456.9998,600.0000,0.9019,18.4139,31020.0000,1400.0000,0.9992,72380.0000,41360.0000,0.0974,-18.3084,2802.5238,600.0000,0.9019,18.4139,31020.0000,183059.7246,144890.4791,
