upc,cedis,cluster,date,on_hand,stores_reporting,stockout_store_share,daily_mean_7d,demand_7d_p50,demand_7d_p90,cover_days,cover_threshold,p_stockout_7d,alert_cover,alert_prob,alert_iforest,iforest_score,severity
750101310407,CMD2,A-Y,2026-04-02,34353.0,510,0.011764705882352941,4103.394321559031,28723.760250913216,34146.14841600032,8.371849573293758,14,0.092368380121567,True,False,False,0.438722999904777,medium
750101310054,CCUL,A-Y,2026-04-02,6514.0,235,0.01276595744680851,621.1785836088303,4348.250085261812,6233.656097238949,10.486517358914627,14,0.07520708113245311,True,False,True,0.659399405353568,medium
750101310327,CMD2,A-Y,2026-04-02,10379.0,182,0.038461538461538464,1272.7527480730162,8909.269236511112,10155.52539761938,8.154765342847698,14,0.06750793117071385,True,False,False,0.41747432664480194,medium
750101310014,CCUL,A-Z,2026-04-02,3262.0,57,0.03508771929824561,210.8152718994931,1475.7069032964516,2891.171683615611,15.473262304996432,21,0.06532867727887814,True,False,False,0.5219599559292516,medium
61300876522,CMD2,A-Y,2026-04-02,33792.0,509,0.011787819253438114,3734.6270691819486,26142.38948427364,32232.014435558493,9.048293008651589,14,0.05811350681329264,True,False,False,0.4599160985209988,medium
750101310541,CMTY,A-Z,2026-04-02,3496.0,67,0.1044776119402985,358.6711811733211,2510.6982682132475,3198.707819226873,9.74708921013262,21,0.03990156506673015,True,False,False,0.40732553414937417,medium
750101310551,CMD2,B-Z,2026-04-02,3343.0,69,0.028985507246376812,359.59450221834777,2517.1615155284344,3059.124669303249,9.296582621194002,21,0.031107253958731707,True,False,False,0.43163672660229224,medium
750101310014,TLJ,A-Z,2026-04-02,3628.0,77,0.0,203.83181083187466,1426.8226758231226,2612.5748512008245,17.798988220697606,21,0.02400921039040982,True,False,False,0.4362473126275224,medium
750101310553,MXLI,B-Z,2026-04-02,126.0,19,0.42105263157894735,8.740444905547541,61.18311433883279,97.55026284627824,14.41574214603516,21,0.023594791442336338,True,False,False,0.3828687109500803,medium
750101310326,CMD2,A-Y,2026-04-02,11082.0,183,0.0546448087431694,1183.3047300954154,8283.133110667908,9950.381517100795,9.3652967981514,14,0.020963063514904512,True,False,False,0.42628946840528614,medium
750101310278,CMTY,A-Z,2026-04-02,25447.0,470,0.02553191489361702,2738.035526829633,19166.24868780743,22874.493834857945,9.293889633881063,21,0.01999944345220306,True,False,False,0.44031944595621847,medium
750101310014,CMTY,A-Z,2026-04-02,2705.0,67,0.07462686567164178,144.5209514081703,1011.6466598571922,1856.5778252426887,18.717009358458156,21,0.01894850373101531,True,False,False,0.4726960279758209,medium
750101311750,CCUL,B-Z,2026-04-02,2988.0,56,0.07142857142857142,178.60878417955232,1250.2614892568663,2087.804171005442,16.72930037414182,21,0.014720293432709974,True,False,False,0.4334062199782991,medium
61300876528,CMD2,A-Y,2026-04-02,41974.0,510,0.0058823529411764705,4031.701753507206,28221.912274550443,35571.08606898017,10.410988353363818,14,0.01397128944289705,True,False,False,0.4521249793139785,medium
750101310553,VHSA,B-Z,2026-04-02,189.0,23,0.17391304347826086,10.509152621818123,73.56406835272686,127.19987276728908,17.9843234560716,21,0.013612443537385222,True,False,False,0.40238876193093215,medium
750101310482,CMD2,A-Y,2026-04-02,9612.0,370,0.05405405405405406,993.6761391020044,6955.732973714031,8359.931885446416,9.673171792860463,14,0.012091555950458077,True,False,False,0.3983738293934358,medium
61300876519,CMD2,A-Y,2026-04-02,44566.0,510,0.00784313725490196,4269.42105167015,29885.947361691047,37239.40513371935,10.438417635704091,14,0.009959106222082514,True,False,False,0.4548452669593473,medium
750101310553,CCUL,B-Z,2026-04-02,231.0,22,0.13636363636363635,17.02278210264338,119.15947471850366,169.4905144150879,13.57004974904362,21,0.008025791269820504,True,False,False,0.4578993152915282,medium
750101135069,CMD2,A-Z,2026-04-02,1292.0,70,0.04285714285714286,101.5071412302981,710.5499886120867,915.1531428756294,12.728168524308323,21,0.001230772504920652,True,False,False,0.3965802323213331,medium
7507891,CMD2,C-Z,2026-04-02,117132.0,510,0.01764705882352941,7540.425688658145,52782.97982060702,73810.5339830328,15.533871008924988,21,0.0011574861167440442,True,False,False,0.3889244870121607,medium
750101310556,CMD2,B-Z,2026-04-02,2111.0,71,0.056338028169014086,142.57809984980784,998.0466989486548,1359.1760994893857,14.805920419922366,21,0.0009399736208239862,True,False,False,0.4896397570799141,medium
750101310054,CMD2,A-Y,2026-04-02,6154.0,238,0.01680672268907563,392.2631440817028,2745.84200857192,3790.6146908076753,15.68844815743946,14,0.0006694483051763456,False,False,True,0.6504553817936274,medium
750101310119,CMTY,A-Z,2026-04-02,4825.0,205,0.04878048780487805,5.490734309683073,38.43514016778151,265.56377794747283,878.7531371698261,21,0.0006370974206408864,False,False,True,0.614377128002685,medium
750101310541,VHSA,A-Z,2026-04-02,4463.0,72,0.05555555555555555,349.90015524580406,2449.3010867206285,3102.97528730879,12.75506721871773,21,0.000575835543712433,True,False,False,0.506698376331417,medium
61300876522,CMTY,A-Y,2026-04-02,30805.0,481,0.008316008316008316,2293.0769364395323,16051.538555076728,20370.50611190517,13.43391471540899,14,0.0002274960977440843,True,False,False,0.5248458172227567,medium
750101310607,CMD2,B-Z,2026-04-02,1964.0,168,0.31547619047619047,184.50463620761045,1291.532453453273,1503.459239445487,10.644718964080909,21,0.00020357171451979017,True,False,False,0.3794674885384873,medium
7507891,CMTY,C-Z,2026-04-02,130634.0,484,0.03512396694214876,6376.935337325912,44638.54736128138,63880.765021830164,20.48538884115136,21,6.165888193199187e-05,True,False,False,0.359749541192197,medium
750101310480,CMD2,A-Y,2026-04-02,11520.0,433,0.04387990762124711,938.7308220197714,6571.1157541384,7877.890508340073,12.271888522008462,14,3.643891887727957e-05,True,False,False,0.4058168207310875,medium
61300876519,CMTY,A-Y,2026-04-02,43098.0,483,0.012422360248447204,3358.2336234229156,23507.63536396041,28222.659648378918,12.83353239613863,14,1.0710855925855078e-05,True,False,False,0.4608006834134749,medium
750101310541,TLJ,A-Z,2026-04-02,4703.0,75,0.0,286.806553068111,2007.6458714767768,2554.148624623403,16.397812217641793,21,2.932999960791882e-06,True,False,False,0.5482832831954795,medium
61300876525,CMD2,A-Y,2026-04-02,29093.0,509,0.005893909626719057,2676.730185682904,18737.11129978033,21204.08978850569,10.868857890724467,14,2.5720299701159632e-06,True,False,False,0.40387148575486426,medium
750101310407,TLJ,A-Y,2026-04-02,31660.0,463,0.01079913606911447,2282.6718745417106,15978.703121791974,19336.82522855939,13.869711347083706,14,2.174414166833394e-06,True,False,False,0.3964641743509707,medium
750101310283,CMTY,A-Z,2026-04-02,11095.0,165,0.04242424242424243,714.1759043670129,4999.2313305690905,6066.984377309756,15.535388315619105,21,6.536676344648384e-08,True,False,False,0.3820067736005231,medium
750101310693,CMD2,B-Z,2026-04-02,34808.0,337,0.19584569732937684,3683.5608456034824,25784.925919224377,27706.524562517992,9.449552066323303,21,4.400372077828507e-08,True,False,False,0.4179932675351186,medium
750101310541,CCUL,A-Z,2026-04-02,3291.0,58,0.034482758620689655,161.6817057306042,1131.7719401142294,1444.357553726917,20.35480752215405,21,1.0171713804574267e-08,True,False,False,0.37509104995101417,medium
750101310119,TLJ,A-Z,2026-04-02,4343.0,187,0.0748663101604278,3.4855542215181177,24.398879550626823,79.5436424670535,1245.9998393335638,21,9.586153426610622e-09,False,False,True,0.6164400334619102,medium
750101310548,TLJ,B-Z,2026-04-02,10107.0,145,0.006896551724137931,499.42658584467165,3495.9861009127017,4327.331075074255,20.23720860375545,21,9.009903934042995e-11,True,False,False,0.46364817141117165,medium
