upc,cedis,h,target_week,q05,q10,q50,q90,q95,model,origin,n_weeks_at_origin,origin_label,cluster,is_discontinued,is_high_promo,is_cold_start
750101310314,CMTY,6,2026-05-11,15939.48001195772,16924.008863777854,23584.16692073542,42610.514501764235,42879.32493066521,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,CMTY,7,2026-05-18,16864.93837476861,18095.034846431896,23462.460757532113,30480.556636592653,35326.52666529746,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,CMTY,8,2026-05-25,13637.466904464785,18254.007495241123,23768.80393215402,30669.227911091835,36565.72368438883,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,MXLI,1,2026-04-06,4660.312657237445,4755.543107930787,6745.66663525948,8581.741294338457,8729.077126150403,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,MXLI,2,2026-04-13,3397.0707335136512,4506.471212861592,5937.583065844162,8867.732532787999,12521.227536105509,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,MXLI,3,2026-04-20,3743.7468490607916,4516.746966768106,6826.399512147809,9082.683785936879,12598.133994601942,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,MXLI,4,2026-04-27,3677.2139472239223,4391.522585628191,6783.481383791875,9633.35441573384,13059.501639165004,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,MXLI,5,2026-05-04,3366.466722176003,3460.6937843266965,4992.597150716325,8407.384931365139,8687.401692341948,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,MXLI,6,2026-05-11,2483.2298463218517,3158.3530804658903,4737.989417790486,8840.399119379388,12330.91738447915,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,MXLI,7,2026-05-18,3533.4137843050266,3982.2722214051832,4697.550704283881,6501.097883060875,7400.825202870225,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,MXLI,8,2026-05-25,3294.000690051784,3433.4171485017832,4675.793316603976,6536.267912795136,7143.234311269479,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,TLJ,1,2026-04-06,34541.404978861996,35241.003488615745,44928.942443694534,64096.54272308358,65892.04086835613,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,TLJ,2,2026-04-13,27201.936183111684,35501.26520871153,44345.82032539651,65931.57873789544,94793.94696791132,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,TLJ,3,2026-04-20,27625.72319228619,35466.654509925866,48680.184332595476,68317.70753173258,96966.97962968564,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,TLJ,4,2026-04-27,29074.163974359715,35816.54798598787,45395.95510151565,69977.50985166902,97837.49775983271,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,TLJ,5,2026-05-04,22508.66718344007,25298.000877529666,34701.05014102207,64360.5576880891,65035.02504964354,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,TLJ,6,2026-05-11,22499.242642890713,23416.723427828703,34517.13836872669,65439.169190868946,66073.56237125685,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,TLJ,7,2026-05-18,25403.95202257939,26898.684527762198,34059.390584796136,48147.54569256131,54176.065553337015,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,TLJ,8,2026-05-25,22647.879721012083,25832.241353311554,34517.00149975923,48710.98512866217,54925.68845158367,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,VHSA,1,2026-04-06,13660.39427348924,14244.880343454026,16822.6348858545,23097.068103713213,24161.734726648232,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,VHSA,2,2026-04-13,13399.352407600327,13612.066637198714,17124.73691296288,24258.464538253706,25286.092762505683,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,VHSA,3,2026-04-20,14582.75992591974,14708.178956125405,19729.4832406573,24133.24261334629,25507.508741950784,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,VHSA,4,2026-04-27,13986.434361904401,14051.475529995796,19558.40371542006,26000.437857643163,26930.84881767052,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,VHSA,5,2026-05-04,9472.16575298427,9621.916465909155,13483.54573445479,22981.27598464703,24193.483555634517,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,VHSA,6,2026-05-11,8530.310064612986,9176.44343641304,13285.227343364284,23847.95467392528,24586.502760524952,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,VHSA,7,2026-05-18,9333.776009676192,10815.021974022804,13107.6114577903,16678.47589428975,19501.661182514596,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310314,VHSA,8,2026-05-25,9033.395290990598,9777.933099359592,13118.46051274313,17310.960491989543,19913.465233529747,lgbm,2026-03-30,107,final,A-Y,False,False,False
