model,cluster,fold,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
ets,B-Y,0,256,0.1026724334340712,0.15782813760264158,0.054140809462325704,0.052349858178707256,0.98828125,0.953125,1.1907213676778472
ets,B-Y,1,256,0.11538718869100209,0.140623451469836,-0.065085418366658,0.05100217470553224,0.98828125,0.96875,1.1269514933684524
ets,B-Y,2,256,0.1567922235953118,0.1840292514295788,-0.08648164959320775,0.05119079112880215,0.98828125,0.94921875,1.1161766730744542
ets,B-Y,3,256,0.09976834163552824,0.12907660331134369,-0.06481779134097088,0.042621317960929855,0.9765625,0.953125,1.0592779695893935
ets,B-Y,4,256,0.23568656857761242,0.17312118432948,-0.15594519244318894,0.06915806243547937,0.9296875,0.88671875,0.9940898365682516
ets,B-Y,5,256,0.3064949134260078,0.2007297380603213,-0.19941663295882128,0.09657915921469236,0.921875,0.83984375,1.0460049334677457
ets,B-Y,6,256,0.20470956532225434,0.18044181477796634,-0.13655559386239338,0.05106736640871712,0.9609375,0.91796875,1.019545987592466
ets,B-Y,7,256,0.1383901799218585,0.15681503653821977,-0.12264968732275892,0.04104253915661661,0.921875,0.87109375,0.9126640741815234
ets,B-Z,0,704,0.1272512294837777,0.22497381974585293,-0.07181630962469819,0.04455022943218094,0.9360795454545454,0.90625,0.9032071997601221
ets,B-Z,1,704,0.13634201589750003,0.48215044937050194,-0.03528750632622569,0.03969274740418249,0.9176136363636364,0.8579545454545454,0.8070472472805227
ets,B-Z,2,704,0.14849337082381853,0.8448084916645158,0.06739313813529604,0.037670413284054606,0.9190340909090909,0.8551136363636364,0.766439177681536
ets,B-Z,3,704,0.12728925039694974,0.6464191666923143,0.018928279714656313,0.038929852517478554,0.8849431818181818,0.8352272727272727,0.7635206261451992
ets,B-Z,4,704,0.1815727497047627,2.9252947374522997,-0.1185699469744818,0.04493956709677836,0.8792613636363636,0.8025568181818182,0.7524664157074337
ets,B-Z,5,720,0.20083680864821857,1.816258510274446,-0.1591726413901406,0.055141886071684666,0.8,0.7208333333333333,0.7281765985044086
ets,B-Z,6,720,0.11886696087581007,1.5711157535877103,0.019529364829735284,0.029917164734942048,0.9375,0.8583333333333333,0.7083437510049617
ets,B-Z,7,720,0.1027130618509849,4.0501448117061205,-0.00896702804351481,0.027520358491167213,0.9388888888888889,0.8833333333333333,0.6980687384929543
ets,C-Z,0,48,0.15055012360137685,0.15824327342719577,-0.08088941162863239,0.08128099834803293,1.0,1.0,2.8531700472476267
ets,C-Z,1,48,0.34642075896065816,0.3668308801724212,-0.34642075896065816,0.08635063037376967,1.0,0.9791666666666666,3.1259101606632544
ets,C-Z,2,48,0.26453500151600134,0.2905501611929861,-0.2587614983272747,0.07403590484672182,1.0,1.0,2.5738232338483042
