model,cluster,h,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
ets,B-Y,3,256,0.17545523609185465,0.1508762908850136,-0.1044710062597916,0.061645567103905605,0.94140625,0.90234375,0.9870871097536761
ets,B-Y,4,256,0.13784363282749496,0.1527544485359893,-0.054048847743183005,0.04768295794466235,0.96875,0.921875,1.08045586062164
ets,B-Y,5,256,0.14960451299118896,0.18106929125123888,-0.07277714337069942,0.050599620761697287,0.96875,0.93359375,1.1385002983724077
ets,B-Y,6,256,0.22361376316555903,0.17873438442754222,-0.15464796053279312,0.07092373306559771,0.96875,0.9375,1.2935977924359563
ets,B-Y,7,256,0.22077580627526117,0.19947232699471895,-0.1503659721943573,0.06647210815207769,0.9609375,0.9296875,1.3077904172642865
ets,B-Y,8,256,0.2232379734629968,0.20192265338043758,-0.15798118961627242,0.06415539431686428,0.95703125,0.8984375,1.396530303925482
ets,B-Z,1,710,0.0960970669349564,1.8470435652885266,-0.01487206252196093,0.027040006572819734,0.8901408450704226,0.8267605633802817,0.5123957953274402
ets,B-Z,2,710,0.1257414744899948,3.0899317722282267,-0.026175973135581135,0.039128200283524386,0.8591549295774648,0.795774647887324,0.6087480939821115
ets,B-Z,3,710,0.13834739516347658,0.626076183767224,-0.03099901623336542,0.03847723077836971,0.9028169014084507,0.8253521126760563,0.7063426698817536
ets,B-Z,4,710,0.12016185860838788,0.8371369330727931,-0.02838983363999737,0.033379034065781764,0.9225352112676056,0.8774647887323944,0.7594482997700007
ets,B-Z,5,710,0.145638617945454,0.9218051837398381,-0.03717024353351469,0.04084382528915745,0.9169014084507042,0.8450704225352113,0.792365912527981
ets,B-Z,6,710,0.16368760485075126,1.8059480178552219,-0.05442412839239046,0.046824179034595716,0.8985915492957747,0.8338028169014085,0.8934832043672929
ets,B-Z,7,710,0.1692298875240075,1.5622176805171344,-0.04487011498063678,0.04613254905668675,0.8971830985915493,0.8507042253521127,0.9271046812375323
ets,B-Z,8,710,0.18370180211008008,1.8856906388652954,-0.06692473490505091,0.045519893970233725,0.9253521126760563,0.8633802816901408,0.9890765184574495
ets,C-Z,1,48,0.1175289723479421,0.12611844888253215,-0.03774550450760629,0.03835943399453293,1.0,0.9791666666666666,1.0562147854182258
ets,C-Z,2,48,0.16185819915457245,0.19311953554292324,-0.015752655020365575,0.052412109855491607,1.0,1.0,1.4751062969881226
ets,C-Z,3,48,0.18907386251678998,0.21173964269982823,0.0022112528757981115,0.06550748703988277,1.0,1.0,1.9674171384780992
ets,C-Z,4,48,0.21718611101965102,0.25663125463377323,-0.08272952635065484,0.07036096121124151,1.0,0.9791666666666666,2.199375847564721
ets,C-Z,5,48,0.2557924882084216,0.3182229244750742,-0.10937694762716454,0.07518743275578703,1.0,0.9791666666666666,2.2766043635515887
ets,C-Z,6,48,0.2788098761732346,0.3707633419837056,-0.11115797784731621,0.08279646532335962,1.0,0.9791666666666666,2.4972037631362753
ets,C-Z,7,48,0.2794411106688142,0.31765803524859426,-0.056675755096636186,0.08993072426762522,1.0,1.0,2.566060588065863
ets,C-Z,8,48,0.2824071680900596,0.31031273033535944,-0.12865767153113442,0.08813896712270433,1.0,1.0,2.6793236169866743
lgbm,A-X,1,48,0.10233251844179536,0.11601129029006114,0.022875870281677414,0.026583069034997207,0.8125,0.6458333333333334,0.38089806006677085
lgbm,A-X,2,48,0.11331043567466263,0.1220570295748457,-0.013513214574148657,0.03141084749654814,0.8125,0.6875,0.3865745200473117
lgbm,A-X,3,48,0.13309110074626526,0.13365293248154173,-0.03258032826909321,0.03749956467877163,0.8125,0.6875,0.4285935998528623
lgbm,A-X,4,48,0.11411098521533117,0.12476443823386833,0.00022756098608603135,0.03378612785218845,0.8541666666666666,0.7291666666666666,0.44389528726688954
lgbm,A-X,5,48,0.10327190352857694,0.12978727202529797,-0.0009137833699519292,0.029810542089383635,0.7916666666666666,0.6666666666666666,0.485037697996483
lgbm,A-X,6,48,0.1203067396723112,0.13495727472483174,-0.057144953952801225,0.03332823418085332,0.7916666666666666,0.6041666666666666,0.5001582162977704
lgbm,A-X,7,48,0.15744032735166727,0.17537989968153897,-0.09834635266309569,0.04514024669155216,0.6458333333333334,0.5416666666666666,0.5174038943632703
lgbm,A-X,8,48,0.14992460129014124,0.15601495598144335,-0.08314369939793008,0.0497466433603197,0.7291666666666666,0.5625,0.5030645837312793
lgbm,A-Y,1,912,0.11488924033054966,0.12633834409865985,-0.037069814210891616,0.03033380171981239,0.8125,0.6480263157894737,0.4113594557558634
lgbm,A-Y,2,912,0.15014492661508622,0.16201077982519302,-0.03019247580030669,0.04497313780872773,0.756578947368421,0.6096491228070176,0.4398994102587321
lgbm,A-Y,3,912,0.14836203019554736,0.18749825494240605,0.002289817821755241,0.0451813388195506,0.7192982456140351,0.5657894736842105,0.46447978225170294
lgbm,A-Y,4,912,0.1657962688057965,0.21286585545513778,0.004339176935731198,0.048855837156390566,0.7006578947368421,0.5274122807017544,0.4809867179462981
lgbm,A-Y,5,912,0.16953327385936523,0.21358802988900483,-0.04907449937021396,0.048726911179201124,0.7368421052631579,0.5734649122807017,0.5277815130140702
lgbm,A-Y,6,912,0.19249062695163008,0.22753668197412671,-0.06354565040123125,0.058657790097583595,0.7214912280701754,0.5581140350877193,0.5266318758613806
lgbm,A-Y,7,912,0.19037352508368252,0.22088687089526005,-0.021276955351950365,0.05929524219532787,0.7028508771929824,0.5241228070175439,0.5233285613523252
lgbm,A-Y,8,912,0.18676873718714973,0.22111200544612697,-0.02924957362848477,0.06077150325186078,0.6885964912280702,0.5328947368421053,0.5123421296811733
lgbm,A-Z,1,640,0.1519775407822722,0.303115176539535,-0.03001270578811073,0.04454111151708008,0.790625,0.6375,0.5119718568093503
lgbm,A-Z,2,640,0.22173975108086624,0.34347672244220134,-0.0804287304607458,0.077299639272757,0.746875,0.603125,0.5273000958338419
lgbm,A-Z,3,640,0.21983376149220948,0.3546705468408407,-0.07816141161687697,0.07580597466923172,0.703125,0.575,0.5449414971071472
lgbm,A-Z,4,640,0.2888051583376541,0.5883225698352167,-0.08675372527285115,0.09121688076875692,0.696875,0.5140625,0.5696688565891975
lgbm,A-Z,5,640,0.28365140555878726,0.6219736523012285,-0.13724856229637172,0.08995247886184882,0.7,0.55,0.5784602173261914
lgbm,A-Z,6,640,0.322046905671652,0.5648618645081636,-0.1879970324736251,0.10976879003675433,0.6765625,0.5265625,0.6101592507038585
lgbm,A-Z,7,640,0.31389810768056414,0.595551365967172,-0.16833483164677726,0.09982479003512393,0.675,0.5078125,0.6091513868852758
lgbm,A-Z,8,640,0.30934476545650963,0.5297688091603544,-0.17029385679209225,0.10258950183852134,0.6625,0.521875,0.5926913151373123
lgbm,B-Y,1,256,0.10471272471050887,0.13330634736938915,-0.013619318283248949,0.03100163537474639,0.77734375,0.640625,0.37228944784093976
lgbm,B-Y,2,256,0.15866750221250248,0.1331257532736081,-0.08296653474308437,0.0580834204549495,0.78515625,0.640625,0.406656570533786
lgbm,B-Y,3,256,0.15732853237384456,0.1412562926022736,-0.06517510341519617,0.05517141463124799,0.76171875,0.59375,0.42158061075825304
lgbm,B-Y,4,256,0.12087885406856044,0.14545530304555143,-0.016885977337146352,0.031832953556239454,0.7265625,0.59765625,0.4491989290232182
lgbm,B-Y,5,256,0.12166566024488765,0.16998917288756135,-0.04508678872664241,0.033148460885537814,0.7421875,0.57421875,0.4652427310845978
lgbm,B-Y,6,256,0.17017573566994396,0.1639384549046587,-0.10585615993621122,0.055019593880737225,0.76953125,0.5703125,0.4929442232729889
lgbm,B-Y,7,256,0.18841585644145956,0.18658446801739037,-0.08949321455396228,0.06216539936639713,0.66796875,0.52734375,0.49163664708639254
lgbm,B-Y,8,256,0.17431042181626605,0.1823727763209291,-0.07466575702303213,0.052712743310316404,0.6875,0.54296875,0.49961419146963626
lgbm,B-Z,1,710,0.08150898552049482,0.1843453871950863,-0.005874853953922972,0.02303290530137888,0.8225352112676056,0.676056338028169,0.41484796686793635
lgbm,B-Z,2,710,0.1010547763047317,0.29552641704033333,-0.02651940536609763,0.030076573355195747,0.7873239436619718,0.6422535211267606,0.43975546347401384
lgbm,B-Z,3,710,0.10307099699076827,0.30315696129485875,-0.03215080215544072,0.030779308314539545,0.7647887323943662,0.6450704225352113,0.45913045926315627
lgbm,B-Z,4,710,0.11123493773704804,0.3596220107448987,-0.03200323961798313,0.02947004654617157,0.7676056338028169,0.6098591549295774,0.4606560480751897
lgbm,B-Z,5,710,0.11286020095178442,0.4966808304892565,-0.043824213108268596,0.03395396420549863,0.7549295774647887,0.643661971830986,0.4811584253182548
lgbm,B-Z,6,710,0.12584607304269707,0.6964886901095556,-0.06048676006719859,0.038414807325652375,0.7253521126760564,0.5732394366197183,0.48992695846671824
lgbm,B-Z,7,710,0.12964511433518822,0.8239769843833865,-0.05545761266440265,0.03878294788057751,0.7211267605633803,0.5929577464788732,0.4854198451451154
lgbm,B-Z,8,710,0.14654798466722352,0.6692305828825836,-0.06224779186022083,0.0439560891820029,0.6901408450704225,0.5450704225352113,0.5008308994240851
lgbm,C-Z,1,48,0.13105204369829895,0.13323338528494993,-0.07388030884787494,0.03891579409226228,0.7916666666666666,0.5833333333333334,0.44491897054901147
lgbm,C-Z,2,48,0.14961626613760043,0.1626244127583576,-0.0544898784236384,0.04418611711198251,0.7291666666666666,0.5208333333333334,0.45476017773646304
lgbm,C-Z,3,48,0.1277954109227178,0.1455229424402972,-0.02098983329508,0.03469315473921959,0.7916666666666666,0.4375,0.5381084767568759
lgbm,C-Z,4,48,0.0926579449909308,0.12344014310107038,-0.0019902412476962565,0.027701126904883133,0.8333333333333334,0.625,0.5643492385640727
lgbm,C-Z,5,48,0.1328003795551996,0.1601203019283884,-0.09082472045199229,0.034336949666830645,0.9166666666666666,0.6041666666666666,0.5942043799892123
lgbm,C-Z,6,48,0.16302062931795694,0.190943826714339,-0.10342057037482358,0.04377120389065009,0.7916666666666666,0.6666666666666666,0.6188985537962514
lgbm,C-Z,7,48,0.156209289114328,0.17391799938759314,-0.04914021847980013,0.05183573566916707,0.7083333333333334,0.6041666666666666,0.6166786959132626
lgbm,C-Z,8,48,0.14514821859264124,0.1575636649957378,-0.05442574806346115,0.049438693054036774,0.6875,0.5625,0.6223399936506374
ma4,A-X,1,48,0.12201785164141377,0.12794288620302904,0.008469547525433297,0.03132708790962692,0.9166666666666666,0.8125,0.7288306256728823
ma4,A-X,2,48,0.16512565732552173,0.16638513498318183,-0.01284789673988904,0.0440412693211485,0.9166666666666666,0.8333333333333334,0.8843178664346377
ma4,A-X,3,48,0.15872247944586865,0.15067495774137485,-0.02908887121221604,0.04644787725319783,0.9375,0.8333333333333334,1.0885257308467877
ma4,A-X,4,48,0.14654692160323873,0.14484184523994834,-0.0007197190595616262,0.042017749931000666,1.0,0.875,1.2716465768439058
ma4,A-X,5,48,0.1888150466273663,0.18808512570227873,0.005692207860738887,0.052528338930848975,0.9583333333333334,0.8541666666666666,1.388141927810136
ma4,A-X,6,48,0.21553645496291632,0.23035258859497884,-0.03541584613204922,0.05901119614754903,0.9375,0.8541666666666666,1.44015145711972
ma4,A-X,7,48,0.22038543281389797,0.22733445138576594,-0.060766465480980435,0.059008243667141504,0.9166666666666666,0.8541666666666666,1.518972169087966
ma4,A-X,8,48,0.2029594078934611,0.2101950395885642,-0.06766477192694711,0.05746518877949708,0.9583333333333334,0.8958333333333334,1.6279480701936362
ma4,A-Y,1,912,0.1556155856642878,0.1608896174531814,-0.04374629429168615,0.047748727546219956,0.9923245614035088,0.9550438596491229,1.2602769615047755
ma4,A-Y,2,912,0.19161505732156345,0.2081631538999785,-0.037165509619933465,0.05756999429341499,0.9890350877192983,0.9649122807017544,1.5161079088826646
ma4,A-Y,3,912,0.1946376361698116,0.2102702968842152,-0.019196828400166528,0.06387581310625497,0.981359649122807,0.9550438596491229,1.6822647670224695
ma4,A-Y,4,912,0.22796627378090722,0.23247512691136837,-0.06928501413075976,0.06795187533057358,0.9824561403508771,0.9495614035087719,1.7473327034370967
ma4,A-Y,5,912,0.22834236343142483,0.2332791789416497,-0.09016758421979316,0.06825932992822532,0.9879385964912281,0.9671052631578947,1.821435265771052
ma4,A-Y,6,912,0.2590205087852345,0.26997519884711496,-0.0963468247528203,0.07383392957882637,0.9857456140350878,0.9506578947368421,1.8385333758739755
ma4,A-Y,7,912,0.24679051803870425,0.23553638594340087,-0.05967961026279347,0.07563021531332757,0.981359649122807,0.9583333333333334,1.8752889426707642
ma4,A-Y,8,912,0.24665557339656505,0.22890487187960587,-0.1154275560106085,0.07480815300122831,0.9802631578947368,0.9484649122807017,1.868341464100494
ma4,A-Z,1,640,0.1973497757423839,0.9187198821124992,-0.038129173507472025,0.05865553677262545,0.9078125,0.853125,0.9366361481873385
ma4,A-Z,2,640,0.2729747148336326,0.4631821084777522,-0.08206874436352475,0.07226282243676423,0.9140625,0.8390625,1.084487980309237
ma4,A-Z,3,640,0.25973486356640063,0.4179232784829451,-0.08447537615421959,0.0727547654693079,0.9046875,0.834375,1.1908187991881491
ma4,A-Z,4,640,0.32847250403586353,0.6492126218547468,-0.11207638022456473,0.08143194867669011,0.9046875,0.8453125,1.2440332172382984
ma4,A-Z,5,640,0.3407326911155544,0.7239953816852643,-0.11964991346207104,0.08592042112436496,0.925,0.8546875,1.3187656067234892
ma4,A-Z,6,640,0.4012911477762175,0.7076994926998246,-0.16774431803885506,0.09521840723889766,0.89375,0.8125,1.3710082937711325
ma4,A-Z,7,640,0.3598937449854711,0.7489023023769859,-0.14534807814082062,0.09142482598040985,0.89375,0.84375,1.3961525272515023
ma4,A-Z,8,640,0.36172316837744195,0.7294178259795533,-0.17737351711608973,0.0937226176349288,0.8921875,0.821875,1.4531818047694007
ma4,B-Y,1,256,0.18072497731633877,0.1602074152382727,0.0054089114228419105,0.055156310485087436,0.94140625,0.859375,0.8208890707817738
ma4,B-Y,2,256,0.25704785400516417,0.16735734165025956,-0.07827202653928099,0.08446262679369018,0.9375,0.8828125,0.9500323759151055
ma4,B-Y,3,256,0.25779762410920964,0.17895937839731577,-0.07488263108372015,0.07863687094952061,0.9140625,0.84765625,1.030785821264332
